Notes,State of Residence,State of Residence Code,2023 Metro/Nonmetro,2023 Metro/Nonmetro Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Source of Payment for Delivery,Source of Payment for Delivery Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,371
,Arizona,4,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,None checked,1,104
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,140
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,5022
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,45
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,2357
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,348
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,24
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,678
,Arizona,4,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,22
,Arizona,4,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,None checked,1,43
,Arizona,4,Nonmetro,Nonmetro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,19
,Arizona,4,Nonmetro,Nonmetro,Unknown or Not Stated,9,Other,4,None checked,1,15
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,125
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,6429
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,88
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,4455
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,At least one checked,0,22
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,1047
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,78
,Arkansas,5,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,44
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,345
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,22105
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,749
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,38560
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,56
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,3670
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,13
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,912
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,At least one checked,0,16
,Arkansas,5,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,306
,Arkansas,5,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,None checked,1,122
,Arkansas,5,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,99
,Arkansas,5,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,None checked,1,14
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,46
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,2422
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,16
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,1237
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,197
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,None checked,1,25
,Arkansas,5,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,57
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,340
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,18803
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,319
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,18340
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,43
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,1791
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,367
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,At least one checked,0,15
,Arkansas,5,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,212
,Arkansas,5,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,None checked,1,51
,Arkansas,5,Nonmetro,Nonmetro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,27
,Arkansas,5,Nonmetro,Nonmetro,Unknown or Not Stated,9,Self Pay,3,None checked,1,11
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,3131
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,372982
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,Unknown or Not Stated,9,513
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,2496
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,247249
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,Unknown or Not Stated,9,128
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,At least one checked,0,69
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,9530
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,Unknown or Not Stated,9,218
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,264
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,26974
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Other,4,Unknown or Not Stated,9,38
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,At least one checked,0,40
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,2657
,California,6,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,Unknown or Not Stated,9,89
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,1744
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,153950
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,Unknown or Not Stated,9,184
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,8593
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,427521
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,Unknown or Not Stated,9,185
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,216
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,21284
