"Notes","State of Residence","State of Residence Code","2023 Metro/Nonmetro","2023 Metro/Nonmetro Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",372022
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",361
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",31467
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",32
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",2680
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","At least one checked","0",200
,"Texas","48","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",18752
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","At least one checked","0",27
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","None checked","1",1879
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","At least one checked","0",38
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",2192
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Self Pay","3","None checked","1",309
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Other","4","None checked","1",45
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Unknown or Not Stated","9","None checked","1",80
,"Texas","48","Metro","Metro","Unknown or Not Stated","9","Unknown or Not Stated","9","Unknown or Not Stated","9",26
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",409
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",33926
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",150
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",14232
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Self Pay","3","At least one checked","0",36
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",3697
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Other","4","None checked","1",362
,"Texas","48","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",336
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",278
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",29703
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",309
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",30960
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",52
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",4923
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",392
,"Texas","48","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",651
,"Texas","48","Nonmetro","Nonmetro","Unknown or Not Stated","9","Medicaid","1","None checked","1",128
,"Texas","48","Nonmetro","Nonmetro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",93
,"Texas","48","Nonmetro","Nonmetro","Unknown or Not Stated","9","Self Pay","3","None checked","1",27
"---"
"Dataset: Provisional Natality, 2023 through Last Month"
"Query Parameters:"
"State of Residence: Alabama (01); California (06); Nebraska (31); New Hampshire (33); Texas (48)"
"Group By: State of Residence; 2023 Metro/Nonmetro; Mother's Hispanic Origin; Source of Payment for Delivery; Maternal Morbidity"
"Checked"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-provisional.html for more information."
"---"
"Query Date: Aug 22, 2026 9:30:11 PM"
"---"
